datapoint,factValue,qEEA
dp3528956,0.4,eba_qAE:qx2076
dp3528956,0.45,eba_qAE:qx2074
dp3528956,0.45,eba_qAE:qx2020
dp3528956,0.238467,eba_qAE:qx2018
dp3528956,0.292309,eba_qAE:qx2014
dp3528956,0.397584,eba_qAE:qx2012
dp3528958,2.5,eba_qAE:qx2074
dp3528958,2.5,eba_qAE:qx2014
dp3528958,2.5,eba_qAE:qx2012
dp3528958,2.5,eba_qAE:qx2076
dp3528958,2.5,eba_qAE:qx2020
dp3528958,2.5,eba_qAE:qx2018
dp3529447,0.000703,eba_qAE:qx2076
dp3529447,0.000514,eba_qAE:qx2074
dp3529447,0.116335,eba_qAE:qx2014
dp3529447,0.002975,eba_qAE:qx2018
dp3529447,0.000192,eba_qAE:qx2020
dp3529447,0.011086,eba_qAE:qx2012
dp3529453,-38260.1,eba_qAE:qx2074
dp3529453,-219497.5,eba_qAE:qx2020
dp3529453,-7567201.15,eba_qAE:qx2018
dp3529453,-10263942.64,eba_qAE:qx2012
dp3529453,-85777.73,eba_qAE:qx2076
dp3529453,-311607253.43,eba_qAE:qx2014
dp3529822,7739618.42,eba_qAE:qx2020
dp3529822,888257690.56,eba_qAE:qx2018
dp3529822,3711093360.37,eba_qAE:qx2014
dp3529822,3600312766.61,eba_qAE:qx2012
dp3529822,48873557.18,eba_qAE:qx2076
dp3529822,50362195.06,eba_qAE:qx2074
