lei,scope,refPeriod,bank_name,country,institution_type,trea_eur,lr_exposure_eur,rwa_density,ov1_total_eur,ov1_abweichung,ov1_teile_summe,ov1_teile_stimmt,anteil_kredit,anteil_ccr,anteil_markt,anteil_operationell,kredit_sa_anteil,kredit_irb_anteil,ansatz,skalenverdacht,plausibel
2G5BKIC2CB69PRJH1W31,IND,2025-06-30,Barclays Bank Ireland plc,Ireland,Large highest EEA,35650961719.56,130421101193.72,0.2734,35650961719.56,0.0,35650961719.56,true,0.3376,0.2599,0.225,0.0857,1.0,,SA,false,true
2G5BKIC2CB69PRJH1W31,IND,2025-09-30,Barclays Bank Ireland plc,Ireland,Large highest EEA,37204624480.49,126432578032.56,0.2943,37204624480.49,0.0,37204624480.49,true,0.3127,0.2649,0.2345,0.0821,1.0,,SA,false,true
2G5BKIC2CB69PRJH1W31,IND,2025-12-31,Barclays Bank Ireland plc,Ireland,Large highest EEA,36863040311.65,124637242088.5,0.2958,36863040311.65,0.0,36863040311.65,true,0.3472,0.2556,0.224,0.0702,1.0,,SA,false,true
2W8N8UU78PMDQKZENC08,CON,2025-06-30,Intesa Sanpaolo S.p.A.,Italy,Large highest EEA,308508000000.0,823751000000.0,0.3745,308508000000.0,0.0,308415000000.0,true,0.7377,0.0179,0.0497,0.1629,0.4292,0.547,gemischt,false,true
2W8N8UU78PMDQKZENC08,CON,2025-09-30,Intesa Sanpaolo S.p.A.,Italy,Large highest EEA,306097000000.0,824144000000.0,0.3714,306097000000.0,0.0,305967000000.0,true,0.737,0.0173,0.0489,0.1642,0.4304,0.549,gemischt,false,true
2W8N8UU78PMDQKZENC08,CON,2025-12-31,Intesa Sanpaolo S.p.A.,Italy,Large highest EEA,310201000000.0,831920000000.0,0.3729,310201000000.0,0.0,310171000000.0,true,0.7258,0.0171,0.0482,0.173,0.4375,0.5466,gemischt,false,true
2W8N8UU78PMDQKZENC08,CON,2026-03-31,Intesa Sanpaolo S.p.A.,Italy,Large highest EEA,313516000000.0,858894000000.0,0.365,313516000000.0,0.0,313459000000.0,true,0.7317,0.0177,0.0465,0.1711,0.449,0.5421,gemischt,false,true
2ZCNRR8UK83OBTEK2170,CON,2025-06-30,UniCredit Bank GmbH,Germany,Large subsidiaries,69427303149.0,312348000000.0,0.2223,69427303149.0,0.0,69405459067.0,true,0.644,0.0725,0.0384,0.1661,0.0698,0.8621,gemischt,false,true
2ZCNRR8UK83OBTEK2170,CON,2025-12-31,UniCredit Bank GmbH,Germany,Large subsidiaries,69130799778.0,305340000000.0,0.2264,69130799778.0,0.0,69044892237.0,false,0.6387,0.0717,0.037,0.1742,0.0723,0.8531,gemischt,false,true
31570014BNQ1Q99CNQ35,CON,2025-06-30,PPF Financial Holdings AS,Czech,Large highest EEA,11176732980.62,26294719082.4,0.4251,,,,,,,,,,,unbekannt,false,true
31570014BNQ1Q99CNQ35,CON,2025-12-31,PPF Financial Holdings AS,Czech,Large highest EEA,9767346023.74,25828314218.61,0.3782,9767346023.74,0.0,9767346023.74,true,0.7877,0.0182,0.0499,0.1373,1.0,,SA,false,true
3157002JBFAI478MD587,CON,2025-06-30,"Tatra banka, a.s.",Slovakia,Large subsidiaries,7812522821.0,21822788544.0,0.358,7812522821.0,0.0,7812933371.0,true,0.8639,0.0015,0.0014,0.132,0.1975,0.6135,gemischt,false,true
3157002JBFAI478MD587,CON,2025-09-30,"Tatra banka, a.s.",Slovakia,Large subsidiaries,8130821359.5,22774931945.0,0.357,8130821359.5,0.0,8130821359.5,true,0.8709,0.0009,0.0013,0.1269,0.1926,0.6139,gemischt,false,true
3157002JBFAI478MD587,CON,2025-12-31,"Tatra banka, a.s.",Slovakia,Large subsidiaries,8310574079.0,24047351111.0,0.3456,8310574079.0,0.0,8310574079.0,true,0.8558,0.0013,0.0007,0.1411,0.1929,0.617,gemischt,false,true
3157002JBFAI478MD587,CON,2026-03-31,"Tatra banka, a.s.",Slovakia,Large subsidiaries,8375102420.0,23886208561.0,0.3506,8375102420.0,0.0,8375102420.0,true,0.8576,0.0008,0.0009,0.14,0.1872,0.625,gemischt,false,true
3157006K4C7PJT790450,IND,2025-12-31,BANCA CENTRALA COOPERATISTA CREDITCOOP,Romania,Other highest EEA,228574439.52,368184762.33,0.6208,228574439.52,0.0,228574439.52,true,0.9167,,,0.0833,1.0,,SA,unbekannt,true
315700E9POA724IWFP59,CON,2025-06-30,J&amp;T FINANCE GROUP SE,Czech,Large highest EEA,10240034640.54,19858843240.16,0.5156,10240034640.54,0.0,10240034640.5,true,0.8265,0.0109,0.0567,0.1038,1.0,,SA,false,true
315700E9POA724IWFP59,CON,2025-09-30,J&amp;T FINANCE GROUP SE,Czech,Large highest EEA,10206124593.72,19045673611.12,0.5359,10206124593.72,0.0,10206124593.76,true,0.8261,0.0093,0.0567,0.1059,1.0,,SA,false,true
