lei,name,land,ezb_kopf_lei,ezb_kopf_name,gleif_kopf_lei,gleif_kopf_name,ezb_kopf_ist_selbst,gleif_kopf_in_ezb_liste,urteil
52990096Q5LMCH1WU462,"Československá obchodná banka, a.s.",Slovakia,213800X3Q9LSAKRUWY91,KBC Group NV,213800X3Q9LSAKRUWY91,KBC Group NV,nein,ja,identisch
529900FIAMEJDQ8C9097,Deutsche Bank Luxembourg S.A.,Luxembourg,7LTWFZYICNSX8D621K86,Deutsche Bank AG,7LTWFZYICNSX8D621K86,Deutsche Bank AG,nein,ja,identisch
529900GEH0DAUTAXUA94,DSK Bank AD,Bulgaria,529900GEH0DAUTAXUA94,DSK Bank AD,529900W3MOO00A18X956,,ja,nein,ssm_schnitt
529900I1UZV70CZRAU55,Raiffeisenbank Austria d.d.,Croatia,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,nein,ja,identisch
529900JZXXU699FCKK89,"Bausparkasse Schwäbisch Hall Aktiengesellschaft, Bausparkasse der Volksbanken und Raiffeisenbanken",Germany,529900HNOAA1KXQJUQ27,DZ BANK AG Deutsche Zentral-Genossenschaftsbank,529900HNOAA1KXQJUQ27,DZ BANK AG Deutsche Zentral-Genossenschaftsbank,nein,ja,identisch
529900K16YGKC8BES892,Deutsche Kreditbank Aktiengesellschaft,Germany,VDYMYTQGZZ6DU0912C88,Bayerische Landesbank,VDYMYTQGZZ6DU0912C88,Bayerische Landesbank,nein,ja,identisch
529900KRVTRP5RWP9K95,Open Group Deutschland Holding GmbH,Germany,5493006QMFDDMYWIAM13,"Banco Santander, S.A.",5493006QMFDDMYWIAM13,"Banco Santander, S.A.",nein,ja,identisch
529900S1KHKOEQL5CK20,Wüstenrot Bausparkasse Aktiengesellschaft,Germany,529900S1KHKOEQL5CK20,Wüstenrot Bausparkasse Aktiengesellschaft,5299003H07ZT0Z5ZNN35,,ja,nein,ssm_schnitt
529900SS7ZWCX82U3W60,Deutsche Bank S.p.A.,Italy,7LTWFZYICNSX8D621K86,Deutsche Bank AG,7LTWFZYICNSX8D621K86,Deutsche Bank AG,nein,ja,identisch
529900SSGT49ZZSWYE62,Volkswagen Financial Services AG,Germany,529900SSGT49ZZSWYE62,Volkswagen Financial Services AG,529900NNUPAGGOMPXZ31,,ja,nein,ssm_schnitt
529900V3O1M5IHMOSF46,State Street Europe Holdings Germany S.à.r.l. & Co. KG,Germany,529900V3O1M5IHMOSF46,State Street Europe Holdings Germany S.à.r.l. & Co. KG,549300ZFEEJ2IP5VME73,,ja,nein,ssm_schnitt
529900VS0F7BA91P4I60,Alpha Bank Cyprus Ltd,Cyprus,213800DBQIB6VBNU5C64,ALPHA BANK S.A.,5299009N55YRQC69CN08,,nein,nein,ssm_schnitt
5493000LM0MZ4JPMGM90,"Open Bank, S.A.",Spain,5493006QMFDDMYWIAM13,"Banco Santander, S.A.",5493006QMFDDMYWIAM13,"Banco Santander, S.A.",nein,ja,identisch
5493000UPYR7EEHN2R94,"Gorenjska Banka d.d., Kranj",Slovenia,213800HDJ876ACJXXD05,AikGroup (CY) Limited,213800HDJ876ACJXXD05,AikGroup (CY) Limited,nein,ja,identisch
54930056FHWP7GIWYY08,Morgan Stanley Europe SE,Germany,54930056FHWP7GIWYY08,Morgan Stanley Europe SE,IGJSJL3JD5P30I6NJZ34,,ja,nein,ssm_schnitt
5493007S4JE930SIUE86,ING Holding Deutschland GmbH,Germany,549300NYKK9MWM7GGW15,ING Groep N.V.,549300NYKK9MWM7GGW15,ING Groep N.V.,nein,ja,identisch
