lei,bank_name,country,scope,refPeriod,rahmenwerk,submission_ts,im_xbrl_bestand,paket_mb,n_pdf,n_seiten,n_zeichen,zeichen_je_seite,textebene,sprache,sprach_abstand,sprach_woerter,sprach_urteil,n_offengelegt,n_ausgelassen,quote_gegen_erwartung,trea_eur,groessenklasse,zeichen_je_template,fehler
5299004R4U60UMXLSE36,Sparkasse Karlsruhe,DE,IND,2025-12-31,P3REMDISDOCS,20260623144132998,true,0.137,1,12,16337,1361.4,ja,de,206.6,1878,landessprache,7,53,0.0,8563000000.0,mittel,2334,
5299005743YY767PR386,Dragsholm Sparekasse,DK,IND,2025-12-31,P3NONREMDISDOCS,20260217135700000,true,1.99,1,52,83759,1610.8,ja,da,23.17,2546,landessprache,21,63,0.1,125200000.0,klein,3989,
5299005OACOC1C1OFJ11,Raiffeisen-Landesbank Tirol AG,AT,IND,2025-12-31,P3NONREMDISDOCS,20260619070652665,true,1.375,1,116,262469,2262.7,ja,de,163.04,1472,landessprache,44,42,0.0,3492000000.0,klein,5965,
5299005OACOC1C1OFJ11,Raiffeisen-Landesbank Tirol AG,AT,IND,2025-12-31,P3REMDISDOCS,20260619070652665,true,0.237,1,12,22603,1883.6,ja,de,174.35,1973,landessprache,44,42,0.0,3492000000.0,klein,514,
5299005UJX6K7BQKV086,OTP banka d.d.,HR,CON,2025-12-31,P3NONREMDISDOCS,20260619010900422,true,0.467,1,32,109276,3414.9,ja,hr,102.82,2198,landessprache,45,41,0.0,6164000000.0,mittel,2428,
5299005UJX6K7BQKV086,OTP banka d.d.,HR,CON,2025-12-31,P3REMDISDOCS,20260619010900455,true,0.205,1,7,18864,2694.9,ja,hr,86.26,2481,landessprache,45,41,0.0,6164000000.0,mittel,419,
52990061592SQLEJN964,Volksbank Mittelhessen eG,DE,IND,2025-12-31,P3NONREMDISDOCS,20260625091253000,true,0.38,1,36,89287,2480.2,ja,de,208.57,2335,landessprache,10,61,0.0,9373000000.0,mittel,8929,
5299007S3UH5RKUYDA52,DEUTSCHE APOTHEKER- UND ÄRZTEBANK EG,DE,IND,2025-06-30,P3NONREMDISDOCS,20260310111144374,true,0.467,1,106,238169,2246.9,ja,de,176.04,2028,landessprache,40,46,0.0,14530000000.0,mittel,5954,
5299007S3UH5RKUYDA52,DEUTSCHE APOTHEKER- UND ÄRZTEBANK EG,DE,IND,2025-09-30,P3NONREMDISDOCS,20260310111144374,true,0.077,1,17,25068,1474.6,ja,de,147.68,1896,landessprache,7,48,0.0,14710000000.0,mittel,3581,
5299007S3UH5RKUYDA52,DEUTSCHE APOTHEKER- UND ÄRZTEBANK EG,DE,IND,2025-12-31,P3NONREMDISDOCS,20260422151115338,true,0.649,1,152,377129,2481.1,ja,de,240.11,2174,landessprache,56,35,0.0238,14630000000.0,mittel,6734,
5299007S3UH5RKUYDA52,DEUTSCHE APOTHEKER- UND ÄRZTEBANK EG,DE,IND,2025-12-31,P3REMDISDOCS,20260618113052814,true,0.095,1,24,43114,1796.4,ja,de,250.44,2276,landessprache,56,35,0.0238,14630000000.0,mittel,770,
5299007S3UH5RKUYDA52,DEUTSCHE APOTHEKER- UND ÄRZTEBANK EG,DE,IND,2026-03-31,P3NONREMDISDOCS,20260608151115338,true,0.079,1,16,26479,1654.9,ja,de,143.99,1896,landessprache,7,47,0.0,16340000000.0,mittel,3783,
52990089LBIKLBM8YB23,VR Bank Nord eG,DE,IND,2025-12-31,P3NONREMDISDOCS,20260520000000000,true,0.286,1,29,63884,2202.9,ja,de,213.54,2407,landessprache,12,64,0.0,4291000000.0,klein,5324,
52990089LBIKLBM8YB23,VR Bank Nord eG,DE,IND,2025-12-31,P3REMDISDOCS,20260618000000000,true,0.12,1,5,6517,1303.4,ja,de,128.77,730,landessprache,12,64,0.0,4291000000.0,klein,543,
5299008I0TO44SUINZ71,Oldenburgische Landesbank Aktiengesellschaft,DE,IND,2025-12-31,P3NONREMDISDOCS,20260521120518542,true,1.609,1,140,400896,2863.5,ja,de,165.65,1316,landessprache,58,33,0.0238,12870000000.0,mittel,6912,
5299008I0TO44SUINZ71,Oldenburgische Landesbank Aktiengesellschaft,DE,IND,2025-12-31,P3REMDISDOCS,20260612090025136,true,0.374,1,16,38430,2401.9,ja,de,225.64,2176,landessprache,58,33,0.0238,12870000000.0,mittel,663,
52990093INYLJNWHQ228,Volksbank eG - Die Gestalterbank,DE,IND,2025-12-31,P3NONREMDISDOCS,20260629121210000,true,0.312,1,34,80100,2355.9,ja,de,210.91,2309,landessprache,11,65,0.0,8383000000.0,mittel,7282,
52990093INYLJNWHQ228,Volksbank eG - Die Gestalterbank,DE,IND,2025-12-31,P3REMDISDOCS,20260629121549000,true,0.072,1,5,7653,1530.6,ja,de,142.67,771,landessprache,11,65,0.0,8383000000.0,mittel,696,
52990096Q5LMCH1WU462,"Československá obchodná banka, a.s.",SK,CON,2025-12-31,P3NONREMDISDOCS,20260603145517000,true,73.546,2,214,0,0.0,nein,,,0,unsicher,41,45,0.0455,7877.0,klein,,
