lei,scope,refPeriod,bank_name,country,institution_type,szenario,szenario_label,delta_eve_eur,delta_nii_eur,tier1_eur,quote_eve,quote_nii,sot_eve,sot_nii,vorbehalt
213800DBQIB6VBNU5C64,CON,2025-06-30,Alpha Bank S.A.,Greece,Large highest EEA,0030,Steepener,-70652016,,5620873700,-0.0126,,nein,,
213800DBQIB6VBNU5C64,CON,2025-06-30,Alpha Bank S.A.,Greece,Large highest EEA,0040,Flattener,-13831944,,5620873700,-0.0025,,nein,,
213800DBQIB6VBNU5C64,CON,2025-06-30,Alpha Bank S.A.,Greece,Large highest EEA,0050,kurze Zinsen hoch,-179464143,,5620873700,-0.0319,,nein,,
213800DBQIB6VBNU5C64,CON,2025-06-30,Alpha Bank S.A.,Greece,Large highest EEA,0060,kurze Zinsen runter,124231172,,5620873700,0.0221,,nein,,
213800DBQIB6VBNU5C64,CON,2025-12-31,Alpha Bank S.A.,Greece,Large highest EEA,0010,Parallelverschiebung hoch,-354806397,8478923,5686255208,-0.0624,0.0015,nein,nein,
213800DBQIB6VBNU5C64,CON,2025-12-31,Alpha Bank S.A.,Greece,Large highest EEA,0020,Parallelverschiebung runter,132058072,-148775207,5686255208,0.0232,-0.0262,nein,nein,
213800DBQIB6VBNU5C64,CON,2025-12-31,Alpha Bank S.A.,Greece,Large highest EEA,0030,Steepener,-85275240,,5686255208,-0.0150,,nein,,
213800DBQIB6VBNU5C64,CON,2025-12-31,Alpha Bank S.A.,Greece,Large highest EEA,0040,Flattener,26499334,,5686255208,0.0047,,nein,,
213800DBQIB6VBNU5C64,CON,2025-12-31,Alpha Bank S.A.,Greece,Large highest EEA,0050,kurze Zinsen hoch,-79749859,,5686255208,-0.0140,,nein,,
213800DBQIB6VBNU5C64,CON,2025-12-31,Alpha Bank S.A.,Greece,Large highest EEA,0060,kurze Zinsen runter,-5715350,,5686255208,-0.0010,,nein,,
213800GO21RWIB6O9Q29,CON,2025-12-31,Middelfart Sparekasse,Denmark,Other highest EEA,0010,Parallelverschiebung hoch,-2067303,-6575185,390806502,-0.0053,-0.0168,nein,nein,
213800GO21RWIB6O9Q29,CON,2025-12-31,Middelfart Sparekasse,Denmark,Other highest EEA,0020,Parallelverschiebung runter,2307490,6957634,390806502,0.0059,0.0178,nein,nein,
213800GO21RWIB6O9Q29,CON,2025-12-31,Middelfart Sparekasse,Denmark,Other highest EEA,0030,Steepener,603717,,390806502,0.0015,,nein,,
213800GO21RWIB6O9Q29,CON,2025-12-31,Middelfart Sparekasse,Denmark,Other highest EEA,0040,Flattener,-975357,,390806502,-0.0025,,nein,,
213800GO21RWIB6O9Q29,CON,2025-12-31,Middelfart Sparekasse,Denmark,Other highest EEA,0050,kurze Zinsen hoch,-1687608,,390806502,-0.0043,,nein,,
213800GO21RWIB6O9Q29,CON,2025-12-31,Middelfart Sparekasse,Denmark,Other highest EEA,0060,kurze Zinsen runter,1728162,,390806502,0.0044,,nein,,
213800HDJ876ACJXXD05,CON,2025-06-30,AIKGROUP (CY) LIMITED,Cyprus,Large highest EEA,0010,Parallelverschiebung hoch,-71896627,4798661,1149062423,-0.0626,0.0042,nein,nein,
213800HDJ876ACJXXD05,CON,2025-06-30,AIKGROUP (CY) LIMITED,Cyprus,Large highest EEA,0020,Parallelverschiebung runter,-29729335,-9666715,1149062423,-0.0259,-0.0084,nein,nein,
213800HDJ876ACJXXD05,CON,2025-06-30,AIKGROUP (CY) LIMITED,Cyprus,Large highest EEA,0030,Steepener,-52399223,,1149062423,-0.0456,,nein,,
213800HDJ876ACJXXD05,CON,2025-06-30,AIKGROUP (CY) LIMITED,Cyprus,Large highest EEA,0040,Flattener,27373878,,1149062423,0.0238,,nein,,
213800HDJ876ACJXXD05,CON,2025-06-30,AIKGROUP (CY) LIMITED,Cyprus,Large highest EEA,0050,kurze Zinsen hoch,-63063171,,1149062423,-0.0549,,nein,,
213800HDJ876ACJXXD05,CON,2025-06-30,AIKGROUP (CY) LIMITED,Cyprus,Large highest EEA,0060,kurze Zinsen runter,16148519,,1149062423,0.0141,,nein,,
213800KGF4EFNUQKAT69,CON,2025-12-31,EUROBANK S.A.,Greece,Large highest EEA,0010,Parallelverschiebung hoch,-346084040,86198696,9223637543,-0.0375,0.0093,nein,nein,
213800KGF4EFNUQKAT69,CON,2025-12-31,EUROBANK S.A.,Greece,Large highest EEA,0020,Parallelverschiebung runter,186991110,-266452656,9223637543,0.0203,-0.0289,nein,nein,
213800KGF4EFNUQKAT69,CON,2025-12-31,EUROBANK S.A.,Greece,Large highest EEA,0030,Steepener,129770707,,9223637543,0.0141,,nein,,
213800KGF4EFNUQKAT69,CON,2025-12-31,EUROBANK S.A.,Greece,Large highest EEA,0040,Flattener,-348372412,,9223637543,-0.0378,,nein,,
213800KGF4EFNUQKAT69,CON,2025-12-31,EUROBANK S.A.,Greece,Large highest EEA,0050,kurze Zinsen hoch,-439207164,,9223637543,-0.0476,,nein,,
213800KGF4EFNUQKAT69,CON,2025-12-31,EUROBANK S.A.,Greece,Large highest EEA,0060,kurze Zinsen runter,195587543,,9223637543,0.0212,,nein,,
213800M7T3CYVZ3ZRT12,CON,2025-06-30,Sparebanken Norge,Norway,Large highest EEA,0010,Parallelverschiebung hoch,-19472737,57647510,3393640276,-0.0057,0.0170,nein,nein,
213800M7T3CYVZ3ZRT12,CON,2025-06-30,Sparebanken Norge,Norway,Large highest EEA,0020,Parallelverschiebung runter,19472737,-57647510,3393640276,0.0057,-0.0170,nein,nein,
213800M7T3CYVZ3ZRT12,CON,2025-06-30,Sparebanken Norge,Norway,Large highest EEA,0030,Steepener,18057508,,3393640276,0.0053,,nein,,
213800M7T3CYVZ3ZRT12,CON,2025-06-30,Sparebanken Norge,Norway,Large highest EEA,0040,Flattener,-22478624,,3393640276,-0.0066,,nein,,
213800M7T3CYVZ3ZRT12,CON,2025-06-30,Sparebanken Norge,Norway,Large highest EEA,0050,kurze Zinsen hoch,-28482652,,3393640276,-0.0084,,nein,,
213800M7T3CYVZ3ZRT12,CON,2025-06-30,Sparebanken Norge,Norway,Large highest EEA,0060,kurze Zinsen runter,28482652,,3393640276,0.0084,,nein,,
213800M7T3CYVZ3ZRT12,CON,2025-12-31,Sparebanken Norge,Norway,Large highest EEA,0010,Parallelverschiebung hoch,-24637698,54482656,3520221515,-0.0070,0.0155,nein,nein,
213800M7T3CYVZ3ZRT12,CON,2025-12-31,Sparebanken Norge,Norway,Large highest EEA,0020,Parallelverschiebung runter,24637698,-54482656,3520221515,0.0070,-0.0155,nein,nein,
213800M7T3CYVZ3ZRT12,CON,2025-12-31,Sparebanken Norge,Norway,Large highest EEA,0030,Steepener,21528403,,3520221515,0.0061,,nein,,
213800M7T3CYVZ3ZRT12,CON,2025-12-31,Sparebanken Norge,Norway,Large highest EEA,0040,Flattener,-27056550,,3520221515,-0.0077,,nein,,
213800M7T3CYVZ3ZRT12,CON,2025-12-31,Sparebanken Norge,Norway,Large highest EEA,0050,kurze Zinsen hoch,-34668467,,3520221515,-0.0098,,nein,,
213800M7T3CYVZ3ZRT12,CON,2025-12-31,Sparebanken Norge,Norway,Large highest EEA,0060,kurze Zinsen runter,34668467,,3520221515,0.0098,,nein,,
213800RZWHE5EUX9R444,CON,2025-12-31,Luminor Holding AS,Estonia,Large highest EEA,0010,Parallelverschiebung hoch,-10516200,28308300,1662388220,-0.0063,0.0170,nein,nein,
213800RZWHE5EUX9R444,CON,2025-12-31,Luminor Holding AS,Estonia,Large highest EEA,0020,Parallelverschiebung runter,11576900,-28119100,1662388220,0.0070,-0.0169,nein,nein,
213800RZWHE5EUX9R444,CON,2025-12-31,Luminor Holding AS,Estonia,Large highest EEA,0030,Steepener,17584300,,1662388220,0.0106,,nein,,
213800RZWHE5EUX9R444,CON,2025-12-31,Luminor Holding AS,Estonia,Large highest EEA,0040,Flattener,-18750100,,1662388220,-0.0113,,nein,,
213800RZWHE5EUX9R444,CON,2025-12-31,Luminor Holding AS,Estonia,Large highest EEA,0050,kurze Zinsen hoch,-19921900,,1662388220,-0.0120,,nein,,
213800RZWHE5EUX9R444,CON,2025-12-31,Luminor Holding AS,Estonia,Large highest EEA,0060,kurze Zinsen runter,23521200,,1662388220,0.0141,,nein,,
213800TC9PZRBHMJW403,CON,2025-06-30,MDB Group Limited,Malta,Large subsidiaries,0010,Parallelverschiebung hoch,-8,-0,214,-0.0383,-0.0019,,,skala
213800TC9PZRBHMJW403,CON,2025-06-30,MDB Group Limited,Malta,Large subsidiaries,0020,Parallelverschiebung runter,2,-8,214,0.0075,-0.0350,,,skala
213800TC9PZRBHMJW403,CON,2025-06-30,MDB Group Limited,Malta,Large subsidiaries,0030,Steepener,4,,214,0.0177,,,,skala
213800TC9PZRBHMJW403,CON,2025-06-30,MDB Group Limited,Malta,Large subsidiaries,0040,Flattener,-2,,214,-0.0098,,,,skala
213800TC9PZRBHMJW403,CON,2025-06-30,MDB Group Limited,Malta,Large subsidiaries,0050,kurze Zinsen hoch,-6,,214,-0.0266,,,,skala
213800TC9PZRBHMJW403,CON,2025-06-30,MDB Group Limited,Malta,Large subsidiaries,0060,kurze Zinsen runter,3,,214,0.0121,,,,skala
213800TC9PZRBHMJW403,CON,2025-12-31,MDB Group Limited,Malta,Large subsidiaries,0010,Parallelverschiebung hoch,-10,1,248,-0.0419,0.0047,,,skala
