institution_type,template_id,template_title,n_institute,frequenz,muster_modal,anteil_modal,eindeutig,n_vierteljaehrlich,n_halbjaehrlich,n_jaehrlich,n_nie,n_uneinheitlich
Large subsidiaries,100.00,Section 1 - General Information,1,uneinheitlich,0000,1.0,nein,0,0,0,1,0
Large subsidiaries,101.00,Section 2- total exposures,1,uneinheitlich,0000,1.0,nein,0,0,0,1,0
Large subsidiaries,102.00,Section 3 - Intra-Financial System Assets,1,uneinheitlich,0000,1.0,nein,0,0,0,1,0
Large subsidiaries,103.00,Section 4 - Intra-Financial System Liabilities,1,uneinheitlich,0000,1.0,nein,0,0,0,1,0
Large subsidiaries,104.00,Section 5 - Securities Outstanding,1,uneinheitlich,0000,1.0,nein,0,0,0,1,0
Large subsidiaries,105.00,Section 6 - Payments made in the reporting year excluding intragroup payments,1,uneinheitlich,0000,1.0,nein,0,0,0,1,0
Large subsidiaries,106.00,Section 7 - Assets Under Custody,1,uneinheitlich,0000,1.0,nein,0,0,0,1,0
Large subsidiaries,107.00,Section 8 - Underwritten Transactions in Debt and Equity Markets,1,uneinheitlich,0000,1.0,nein,0,0,0,1,0
Large subsidiaries,108.00,Section 9 - Trading Volume,1,uneinheitlich,0000,1.0,nein,0,0,0,1,0
Large subsidiaries,109.00,Section 10 - Notional Amount of Over-the-Counter OTC Derivatives,1,uneinheitlich,0000,1.0,nein,0,0,0,1,0
Large subsidiaries,11.00,EU MR2-A - Market risk under the internal Model Approach (IMA) - RWEA,21,nie,0000,0.762,ja,0,4,1,16,0
Large subsidiaries,110.00,Section 11 - Trading and Available-for-Sale Securities,1,uneinheitlich,0000,1.0,nein,0,0,0,1,0
Large subsidiaries,111.00,Section 12 - Level 3 Assets,1,uneinheitlich,0000,1.0,nein,0,0,0,1,0
Large subsidiaries,112.00,Section 13 - Cross-Jurisdictional Claims,1,uneinheitlich,0000,1.0,nein,0,0,0,1,0
Large subsidiaries,113.00,Section 14 - Cross-Jurisdictional Liabilities,1,uneinheitlich,0000,1.0,nein,0,0,0,1,0
Large subsidiaries,12.00,EU MR2-B - RWA flow statements of market risk exposures under the IMA,21,uneinheitlich,0000,0.524,nein,8,0,1,11,1
Large subsidiaries,13.00,EU MR3 - IMA values for trading portfolios,21,nie,0000,0.762,ja,0,4,1,16,0
Large subsidiaries,18.01,EU CVA 1 – Credit valuation adjustment risk under the Reduced Basic Approach - OFRs,21,nie,0000,0.667,ja,0,1,6,14,0
Large subsidiaries,18.02,EU CVA 2 – Credit valuation adjustment risk under the Full Basic Approach - OFRs,21,nie,0000,0.905,ja,0,0,2,19,0
Large subsidiaries,18.03,EU CVA3 – Credit valuation adjustment risk under the Standardised Approach,21,nie,0000,0.905,ja,0,0,2,19,0
Large subsidiaries,18.04,EU CVA4 – RWEA flow statements of credit valuation adjustment risk under the Standardised Approach,21,uneinheitlich,0000,0.571,nein,8,0,0,12,1
Large subsidiaries,19.01,EU OR1 -Operational risk losses,21,nie,0000,0.762,ja,0,0,5,16,0
Large subsidiaries,19.02,"EU OR2 - Business indicator, components and subcomponents",21,nie,0000,0.714,ja,0,0,6,15,0
Large subsidiaries,19.03,EU OR3 - Operational risk own funds requirements and risk exposure amounts,21,nie,0000,0.667,ja,0,0,7,14,0
Large subsidiaries,20.01,EU AE1 - Encumbered and unencumbered assets,1,uneinheitlich,0000,1.0,nein,0,0,0,1,0
Large subsidiaries,20.02,EU AE2 - Collateral received and own debt securities issued,1,uneinheitlich,0000,1.0,nein,0,0,0,1,0
Large subsidiaries,20.03,EU AE3 - Sources   of  encumbrance,1,uneinheitlich,0000,1.0,nein,0,0,0,1,0
Large subsidiaries,21.01,EU CR1: Performing and non-performing exposures and related provisions,1,uneinheitlich,1010,1.0,nein,0,1,0,0,0
Large subsidiaries,21.02,EU CR1-A: Maturity of exposures,1,uneinheitlich,1010,1.0,nein,0,1,0,0,0
Large subsidiaries,22.01,EU CR2: Changes in the stock of non-performing loans and advances,1,uneinheitlich,0000,1.0,nein,0,0,0,1,0
Large subsidiaries,22.02,EU CR2a: Changes in the stock of non-performing loans and advances and related net accumulated recoveries,1,uneinheitlich,0000,1.0,nein,0,0,0,1,0
Large subsidiaries,23.00,EU CR3 –  CRM techniques overview:  Disclosure of the use of credit risk mitigation techniques,2,uneinheitlich,1010,1.0,nein,0,2,0,0,0
Large subsidiaries,24.00,EU CR4 – standardised approach – Credit risk exposure and CRM effects,21,halbjaehrlich,1010,0.952,ja,0,20,0,0,1
Large subsidiaries,25.00,EU CR5 – standardised approach,21,uneinheitlich,1010,0.524,nein,0,11,1,8,1
Large subsidiaries,26.00,EU CR6 – IRB approach – Credit risk exposures by exposure class and PD range (II),21,nie,0000,0.619,ja,0,8,0,13,0
