lei,scope,refPeriod,bank_name,country,institution_type,kredite_eur,npe_eur,npl_quote,forborne_performing_eur,vorstufe_quote,forborne_non_performing_eur,npf_quote,vorstufe_verhaeltnis,wb_npe_eur,wb_vorzeichen,deckungsquote,npl_unter_median,fruehwarnung
2G5BKIC2CB69PRJH1W31,IND,2025-12-31,Barclays Bank Ireland plc,Ireland,Large highest EEA,43893539819.89,350953325.39,0.007996,174041999.52,0.003965,295940922.10,0.006742,0.4959,-24295465.09,negativ,0.069227,ja,nein
2W8N8UU78PMDQKZENC08,CON,2025-12-31,Intesa Sanpaolo S.p.A.,Italy,Large highest EEA,458972000000.00,7589000000.00,0.016535,4283000000.00,0.009332,2118000000.00,0.004615,0.5644,-3677000000.00,negativ,0.484517,ja,nein
31570010000000004460,CON,2025-12-31,Raiffeisenbank a.s.,Czech,Large subsidiaries,27319936295.83,271112182.74,0.009924,31151000.62,0.001140,58480883.26,0.002141,0.1149,-137136855.12,negativ,0.505831,ja,nein
31570014BNQ1Q99CNQ35,CON,2025-12-31,PPF Financial Holdings AS,Czech,Large highest EEA,13339972794.82,367478778.33,0.027547,10476285.97,0.000785,7085382.26,0.000531,0.0285,-274501459.24,negativ,0.746986,nein,nein
3157002JBFAI478MD587,CON,2025-12-31,"Tatra banka, a.s.",Slovakia,Large subsidiaries,16745046084.00,275162185.00,0.016432,42790592.00,0.002555,70396895.00,0.004204,0.1555,-160543403.00,negativ,0.583450,ja,nein
3157006K4C7PJT790450,IND,2025-12-31,BANCA CENTRALA COOPERATISTA CREDITCOOP,Romania,Other highest EEA,271678784.71,4464772.33,0.016434,61423.55,0.000226,47115.27,0.000173,0.0138,-3075115.98,negativ,0.688751,ja,nein
315700E9POA724IWFP59,CON,2025-12-31,J&amp;T FINANCE GROUP SE,Czech,Large highest EEA,12215846276.95,353420302.39,0.028931,135876581.96,0.011123,67662653.22,0.005539,0.3845,-245563915.22,negativ,0.694821,nein,nein
315700K45LRKNGMUIW27,IND,2025-12-31,"Prima banka Slovensko, a.s.",Slovakia,Large highest EEA,5955.00,36.00,0.006045,5.00,0.000840,1.00,0.000168,0.1389,-32.00,negativ,0.888889,ja,nein
39120001JPAYYPDRNN92,IND,2025-12-31,Deutsche Bausparkasse Badenia Aktiengesellschaft,Germany,Other highest EEA,5733328274.31,45171799.78,0.007879,539350.79,0.000094,528602.44,0.000092,0.0119,-12256236.47,negativ,0.271325,ja,nein
391200EEGLNXBBCVKC73,CON,2025-12-31,Erwerbsgesellschaft der S-Finanzgruppe mbH & Co. KG,Germany,Large highest EEA,29920507947.60,747906424.24,0.024996,471074616.30,0.015744,400792608.70,0.013395,0.6299,-351174990.28,negativ,0.469544,nein,nein
3DM5DPGI3W6OU6GJ4N92,CON,2025-12-31,BANCO BPI S.A.,Portugal,Large subsidiaries,29946058683.73,459756135.54,0.015353,185235502.10,0.006186,167203054.59,0.005583,0.4029,-235104868.70,negativ,0.511369,ja,nein
3H0Q3U74FVFED2SHZT16,CON,2025-12-31,MBH bankcsoport,Hungary,Large highest EEA,17203459914.54,585872467.96,0.034056,45641256.16,0.002653,71441404.81,0.004153,0.0779,-316664710.26,negativ,0.540501,nein,nein
