entityID,refPeriod,framework_version,template_id,template_reported,datapoint_code,cell_row,cell_col,fact_value,baseCurrency,decimalsMonetary
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3292896,0030,0010,7.9,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3292896,0030,0010,11581232.94,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3292896,0030,0010,90715288.7,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3292896,0030,0010,15037311.57,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3292897,0020,0010,9.46,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3292897,0020,0010,2450128.9,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3292897,0020,0010,852117101.28,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3292897,0020,0010,282092396.06,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3292899,0080,0010,187333.57,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3292899,0080,0010,8627710.23,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3293106,0050,0010,2.34,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3293106,0050,0010,2.34,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3293106,0050,0010,418210.94,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3293109,0070,0010,372680.18,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3293109,0070,0010,3140783.31,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3293109,0070,0010,14948138.79,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3293113,0040,0010,7.08,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3293113,0040,0010,1573906.71,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3293113,0040,0010,11294331.4,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3293114,0010,0010,922591.47,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3293114,0010,0010,2566201.4,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3293114,0010,0010,2947887143.67,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3293114,0010,0010,3019651.87,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3293114,0010,0010,1225415370.51,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3293151,0090,0010,42974297.51,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3293151,0090,0010,3245389531.48,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3293151,0090,0010,922618.25,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3293151,0090,0010,2566201.4,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3293151,0090,0010,2203117943.25,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3293642,0050,0040,0.4,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3293642,0050,0040,0.4,iso4217:EUR,-6
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00.A,True,dp3293642,0050,0040,0.4,iso4217:EUR,-6
