ebene,entityID,lei,scope,refPeriod,template_id,bank_name,country,trea_eur,versatz_log10,zeitreihe_faktor,decimals_deklariert,anteil_erreicht_genauigkeit,n_zellen,signale,urteil,faktor_geschaetzt
report,rs:5493007BWYDPQZLZ0Y27.CON,5493007BWYDPQZLZ0Y27,CON,2025-12-31,,HYPO NOE Landesbank für Niederösterreich und Wien AG,Austria,4735000000.0,-0.277,1,-3.0,0.9979,1818,,unauffaellig,
report,rs:5493007QRSX9DS2CM858.IND,5493007QRSX9DS2CM858,IND,2025-12-31,,China Construction Bank (Europe) S.A.,Luxembourg,3176000000.0,-0.475,,-6.0,0.8368,213,,unauffaellig,
report,rs:5493007S4JE930SIUE86.CON,5493007S4JE930SIUE86,CON,2025-06-30,,ING Holding Deutschland GmbH,Germany,46170000000.0,0.208,1,-3.0,0.9565,1787,,unauffaellig,
report,rs:5493007S4JE930SIUE86.CON,5493007S4JE930SIUE86,CON,2025-09-30,,ING Holding Deutschland GmbH,Germany,47320000000.0,0.22,1,-3.0,1.0,361,,unauffaellig,
report,rs:5493007S4JE930SIUE86.CON,5493007S4JE930SIUE86,CON,2025-12-31,,ING Holding Deutschland GmbH,Germany,49080000000.0,0.819,1,-3.0,0.9752,2153,,unauffaellig,
report,rs:5493007SJLLCTM6J6M37.CON,5493007SJLLCTM6J6M37,CON,2026-03-31,,"Unicaja Banco, S.A.",Spain,30100000000.0,-0.095,,-3.0,1.0,365,,unauffaellig,
report,rs:5493007SWCCN9S3J2748.CON,5493007SWCCN9S3J2748,CON,2025-12-31,,Bigbank AS,Estonia,2018000000.0,-1.097,,-3.0,0.8956,1650,,unauffaellig,
report,rs:5493008QOCP58OLEN998.CON,5493008QOCP58OLEN998,CON,2025-06-30,,Investeringsmaatschappij Argenta - Société d'investissements Argenta - Investierungsgesellschaft Arg,Belgium,10380000000.0,-0.66,1,-6.0,0.5948,2257,,unauffaellig,
report,rs:5493008QOCP58OLEN998.CON,5493008QOCP58OLEN998,CON,2025-09-30,,Investeringsmaatschappij Argenta - Société d'investissements Argenta - Investierungsgesellschaft Arg,Belgium,10390000000.0,-0.428,1,-6.0,0.9941,339,,unauffaellig,
report,rs:5493008QRHH0XCLJ4238.CON,5493008QRHH0XCLJ4238,CON,2025-06-30,,BRD-Groupe Société Générale SA,Romania,8303000000.0,-1.14,1,-3.0,0.9628,1177,,unauffaellig,
report,rs:5493008QRHH0XCLJ4238.CON,5493008QRHH0XCLJ4238,CON,2025-09-30,,BRD-Groupe Société Générale SA,Romania,,-3.35,,-3.0,0.9649,215,versatz,unauffaellig,10^3
report,rs:5493008QRHH0XCLJ4238.CON,5493008QRHH0XCLJ4238,CON,2025-12-31,,BRD-Groupe Société Générale SA,Romania,8756000000.0,-0.199,1,-3.0,0.7225,2213,,unauffaellig,
report,rs:5493009EIBTCB1X12G89.CON,5493009EIBTCB1X12G89,CON,2025-06-30,,LGT Group Foundation,Liechtenstein,28080000000.0,0.23,1,-6.0,0.9333,75,,unauffaellig,
report,rs:5493009EIBTCB1X12G89.CON,5493009EIBTCB1X12G89,CON,2025-12-31,,LGT Group Foundation,Liechtenstein,25220000000.0,0.555,1,-6.0,0.7114,2593,,unauffaellig,
report,rs:5493009ML6YX83YHC820.CON,5493009ML6YX83YHC820,CON,2025-06-30,,Argenta Bank- en Verzekeringsgroep NV,Belgium,10380000000.0,-0.649,1,-6.0,0.6025,2272,,unauffaellig,
report,rs:5493009ML6YX83YHC820.CON,5493009ML6YX83YHC820,CON,2025-09-30,,Argenta Bank- en Verzekeringsgroep NV,Belgium,10390000000.0,-0.428,1,-6.0,0.9941,339,,unauffaellig,
report,rs:5493009ML6YX83YHC820.CON,5493009ML6YX83YHC820,CON,2025-12-31,,Argenta Bank- en Verzekeringsgroep NV,Belgium,10370000000.0,-0.238,1,-6.0,0.6199,2996,,unauffaellig,
report,rs:5493009ML6YX83YHC820.CON,5493009ML6YX83YHC820,CON,2026-03-31,,Argenta Bank- en Verzekeringsgroep NV,Belgium,11120000000.0,-0.521,1,-3.0,1.0,340,,unauffaellig,
report,rs:5493009VJC01E4H6HH77.CON,5493009VJC01E4H6HH77,CON,2025-12-31,,Avanza - Grupp,Sweden,1755000000.0,-0.458,,0.0,0.0,698,,unauffaellig,
report,rs:5493009W2E2YDCXY6S81.CON,5493009W2E2YDCXY6S81,CON,2025-12-31,,"NOVO BANCO, S.A.",Portugal,,0.438,,-6.0,0.8649,1562,,unauffaellig,
report,rs:549300A2F46GR0UOM390.CON,549300A2F46GR0UOM390,CON,2025-06-30,,Erste&Steiermärkische Bank d.d.,Croatia,7611000000.0,-0.832,1,-3.0,0.8032,1902,,unauffaellig,
report,rs:549300A2F46GR0UOM390.CON,549300A2F46GR0UOM390,CON,2025-09-30,,Erste&Steiermärkische Bank d.d.,Croatia,7572000000.0,-0.605,1,-3.0,1.0,358,,unauffaellig,
report,rs:549300A2F46GR0UOM390.CON,549300A2F46GR0UOM390,CON,2025-12-31,,Erste&Steiermärkische Bank d.d.,Croatia,8068000000.0,-0.42,1,-3.0,0.8285,2304,,unauffaellig,
