lei,name,typ,land,signifikanz,gruppenkopf_lei,gruppenkopf_name,im_bestand,gruppe_im_bestand,einordnung,namenstreffer
529900C8IAWZ6WEV8M89,Raiffeisenbank Region Altheim eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900C8QKEEBKIW8L39,Raiffeisenbank Mattigtal eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900CCYCFJRG4F2935,Bankhaus Carl Spängler & Co. Aktiengesellschaft,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900CDXQSKWSVDVH81,Raiffeisen Regionalbank Mödling eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900CH2SLJSZMJ0661,Raiffeisenbank Aspach-Wildenau eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900CN08EYK9HTYJ53,Raiffeisenbank Korneuburg eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900CUU4JC0MBXOU43,Raiffeisenbank Region Graz-Nord eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900CYGULV4U54UT27,Raiffeisenbank Gastein eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900D6A0T7DWDKI482,Raiffeisenbank Alpbachtal eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900DADVVDC7X65L89,Austrian Anadi Bank AG,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900DBO0R9X5EZBF88,Raiffeisenbank Kematen-Neuhofen eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900DHP7HRRD2NH428,Raiffeisen-Regionalbank Gänserndorf eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900DUYNT6E3JH8B81,Raiffeisenbank Weißkirchen a.d. Traun eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900DXV1NWTZEU7N92,Raiffeisenbank Krems eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900E0PUOWI7LOPP89,Raiffeisenbank Gunskirchen eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900E207YAMW45CB47,Raiffeisenbank Mayrhofen und Umgebung eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900E4S292AUEPOA58,Raiffeisenbank am Hofsteig registrierte Genossenschaft mit beschränkter Haftung,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900E9VBPRCM1ALD35,Raiffeisenbank Steinbach-Grünburg eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900EBSULTTNS1NE94,Raiffeisenbank Region Freistadt eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900EDACO4YT5O9K42,Raiffeisenbank Nestelbach-Eggersdorf eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900EE7UGTSIXNVP60,Raiffeisenbank Graz-St. Peter eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900EHKIU0WY56RO78,Raiffeisenbank Radstadt-Untertauern-Filzmoos-Forstau registrierte Genossenschaft mit beschränkter Haftung,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900EKSYVO11PXHY85,Raiffeisenbank Gramastetten Rodltal eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900ELZ6BTRTP6ID16,Raiffeisenbank Wolkersdorf - Auersthal eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900EO4WC4F1KM1F38,Raiffeisenbank Hallein-Oberalm eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900EWO973VIBUH148,Raiffeisenkasse Neusiedl a.d.Zaya eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900EWQDZH4T7BC218,Raiffeisenbank Region Parndorf - Weiden am See eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900EWR06UH8ANH691,Raiffeisenbank Im Rheintal eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900EZ238BZ9Q5DV15,Raiffeisenbank Kleinmünchen/Linz eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900F4PAS0XF12N781,Raiffeisenbank Vorderland registrierte Genossenschaft mit beschränkter Haftung,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900F9ZP0XDKL33R63,Raiffeisenbank Region Bad Leonfelden eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900FEID5L4H2T2L70,Raiffeisenlandesbank Vorarlberg Waren- und Revisionsverband registrierte Genossenschaft mit beschränkter Haftung,CI,Austria,LSI,,,true,false,meldet_selbst,
529900FPB63BJZ91F272,Raiffeisenbank Fuschlsee West eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900FS1NI3QY3KFM24,Raiffeisenbank Mürztal eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900FT8EQ3UTVPCG65,Raiffeisenbank Mittelkärnten eG,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900FVKXNY159SQ550,Raiffeisenbank Region Ried i.I. eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900G0O4D2ZDKYAM83,Raiffeisenbank Region Hartberg eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900G2JDE29PD6N957,Bankholding Winter & Co. AG,FH,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900G6PA459NC9MA06,Raiffeisenbank Region Fehring eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900G8QD457M2SW556,Alpen Privatbank Aktiengesellschaft,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900GA6PI4RR9P1615,Raiffeisenbank Attergau eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900GC5ZDA0LHHIK36,Raiffeisenbank Leoben-Bruck eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900GEAFEARYCL2131,Raiffeisenbank Steyr eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900GIW7IGDLAYP075,PARTNER BANK AKTIENGESELLSCHAFT,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900GM7ROAY9MPT913,Raiffeisen Regionalbank Matrei i.O. eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900GWQUM8QE89CX95,Raiffeisenkasse Haidershofen eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900H4VZFCVFKLDA98,Raiffeisenbank Region Vöcklabruck eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900H4WKIZQYKYTF25,Raiffeisenbank Langkampfen-Thiersee eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900H59EKJMH0GFO68,Raiffeisenbank Region Liezen eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900HDXLRETP3GDZ20,Raiffeisenbank Vorderbregenzerwald registrierte Genossenschaft mit beschränkter Haftung,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900HI0747ZYOLS056,Raiffeisenbank Lech am Arlberg eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900HO75COKM8A9M61,Raiffeisenbank Region Schärding eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900HQQ5B304CEBH51,Raiffeisenbank Salzburger Seenland eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900HUNXOFZ7HGUU35,Raiffeisenbank Gleinstätten-Leutschach-Wildon,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900I4P8L3QJ7U7U57,Raiffeisenbank Pyhrn-Priel eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900I5VIERNMU0B764,Raiffeisenbank Drautal registrierte Genossenschaft mit beschränkter Haftung,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900IE8J660F7TG961,Raiffeisenbank Wels Süd eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900IJ7KCTOTCIET29,Raiffeisenbank Hollabrunn eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900IN46275E6A7F39,Raiffeisenbank Großgmain eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900IQMS1E10HN8V33,Volkskredit Verwaltungsgenossenschaft registrierte Genossenschaft mit beschränkter Haftung,FH,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900IRWR9MEXI1D219,Raiffeisenbank Weyer eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900ISXKZVQAY6KO53,Raiffeisenbank Mittleres Lavanttal eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900J5TTRCNNV7T835,Raiffeisenbank Liesingtal-St.Stefan eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900JMI1YID6P79693,"Winter, Stern Familien Privatstiftung",FH,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900JNB0LJUQY0UH90,Raiffeisenkasse Dobersberg-Waldkirchen eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
