lei,bank_name,country,consolidation,refdate,submission_ts,im_xbrl_bestand,url
213800DBQIB6VBNU5C64,Alpha Bank S.A.,GR,CON,2025-06-30,20250113112642000,true,https://errp.eba.europa.eu/public-documents/P3NONREMDISDOCS/input/213800DBQIB6VBNU5C64.CON_GR_PILLAR3010000_P3NONREMDISDOCS_2025-06-30_20250113112642000.zip
213800DBQIB6VBNU5C64,Alpha Bank S.A.,GR,CON,2025-09-30,20251223164502000,true,https://errp.eba.europa.eu/public-documents/P3NONREMDISDOCS/input/213800DBQIB6VBNU5C64.CON_GR_PILLAR3010000_P3NONREMDISDOCS_2025-09-30_20251223164502000.zip
213800DBQIB6VBNU5C64,Alpha Bank S.A.,GR,CON,2025-12-31,20260625163451000,true,https://errp.eba.europa.eu/public-documents/P3NONREMDISDOCS/input/213800DBQIB6VBNU5C64.CON_GR_PILLAR3010000_P3NONREMDISDOCS_2025-12-31_20260625163451000.zip
213800HDJ876ACJXXD05,AIKGROUP (CY) LIMITED,CY,CON,2025-06-30,20251210151053074,true,https://errp.eba.europa.eu/public-documents/P3NONREMDISDOCS/input/213800HDJ876ACJXXD05.CON_CY_PILLAR3010000_P3NONREMDISDOCS_2025-06-30_20251210151053074.zip
213800HDJ876ACJXXD05,AIKGROUP (CY) LIMITED,CY,CON,2025-09-30,20251210151632215,true,https://errp.eba.europa.eu/public-documents/P3NONREMDISDOCS/input/213800HDJ876ACJXXD05.CON_CY_PILLAR3010000_P3NONREMDISDOCS_2025-09-30_20251210151632215.zip
213800JF3JFF6MMR2P36,Fynske Bank A/S,DK,CON,2025-12-31,20260303192516000,true,https://errp.eba.europa.eu/public-documents/P3NONREMDISDOCS/input/213800JF3JFF6MMR2P36.CON_DK_PILLAR3010000_P3NONREMDISDOCS_2025-12-31_20260303192516000.zip
213800KGF4EFNUQKAT69,EUROBANK S.A.,GR,CON,2025-12-31,20260626091500000,true,https://errp.eba.europa.eu/public-documents/P3NONREMDISDOCS/input/213800KGF4EFNUQKAT69.CON_GR_PILLAR3010000_P3NONREMDISDOCS_2025-12-31_20260626091500000.zip
213800KOJ5JSZ6ID2R91,Sparekassen Balling,DK,IND,2025-12-31,20260227193135000,true,https://errp.eba.europa.eu/public-documents/P3NONREMDISDOCS/input/213800KOJ5JSZ6ID2R91.IND_DK_PILLAR3010000_P3NONREMDISDOCS_2025-12-31_20260227193135000.zip
213800KOJ5JSZ6ID2R91,Sparekassen Balling,DK,IND,2025-12-31,20260302134535000,true,https://errp.eba.europa.eu/public-documents/P3NONREMDISDOCS/input/213800KOJ5JSZ6ID2R91.IND_DK_PILLAR3010000_P3NONREMDISDOCS_2025-12-31_20260302134535000.zip
213800KYUPNOQPAQL758,BANCO DE INVESTIMENTO GLOBAL S.A.,PT,CON,2025-12-31,20260616151700000,true,https://errp.eba.europa.eu/public-documents/P3NONREMDISDOCS/input/213800KYUPNOQPAQL758.CON_PT_PILLAR3010000_P3NONREMDISDOCS_2025-12-31_20260616151700000.zip
