template_id,cell_row,cell_col,row_label,col_label,dp_41,dp_42,status
03.00,0030,0080,3. Public sector entities,h. 75%,dp3527045,dp3527045,stable
03.00,0030,0090,3. Public sector entities,i. 100%,dp3527007,dp3527007,stable
03.00,0030,0100,3. Public sector entities,j. 150%,dp3527004,dp3527004,stable
03.00,0030,0110,3. Public sector entities,k. Others,dp3527026,dp3527026,stable
03.00,0030,0120,3. Public sector entities,l. Total exposure value,dp3528271,dp3528271,stable
03.00,0040,0010,4. Multilateral development banks,a. 0%,dp3528300,dp3528300,stable
03.00,0040,0020,4. Multilateral development banks,b. 2%,dp3527058,dp3527058,stable
03.00,0040,0030,4. Multilateral development banks,c. 4%,dp3527021,dp3527021,stable
03.00,0040,0040,4. Multilateral development banks,d. 10%,dp3527054,dp3527054,stable
03.00,0040,0050,4. Multilateral development banks,e. 20%,dp3528315,dp3528315,stable
03.00,0040,0060,4. Multilateral development banks,f. 50%,dp3526986,dp3526986,stable
03.00,0040,0070,4. Multilateral development banks,g. 70%,dp3527049,dp3527049,stable
03.00,0040,0080,4. Multilateral development banks,h. 75%,dp3527046,dp3527046,stable
03.00,0040,0090,4. Multilateral development banks,i. 100%,dp3527040,dp3527040,stable
03.00,0040,0100,4. Multilateral development banks,j. 150%,dp3527005,dp3527005,stable
03.00,0040,0110,4. Multilateral development banks,k. Others,dp3527027,dp3527027,stable
03.00,0040,0120,4. Multilateral development banks,l. Total exposure value,dp3526978,dp3526978,stable
03.00,0050,0010,5. International organisations,a. 0%,dp3528301,dp3528301,stable
03.00,0050,0020,5. International organisations,b. 2%,dp3527663,dp3527663,stable
03.00,0050,0030,5. International organisations,c. 4%,dp3527022,dp3527022,stable
03.00,0050,0040,5. International organisations,d. 10%,dp3527055,dp3527055,stable
03.00,0050,0050,5. International organisations,e. 20%,dp3528316,dp3528316,stable
03.00,0050,0060,5. International organisations,f. 50%,dp3526987,dp3526987,stable
03.00,0050,0070,5. International organisations,g. 70%,dp3527175,dp3527175,stable
03.00,0050,0080,5. International organisations,h. 75%,dp3527012,dp3527012,stable
03.00,0050,0090,5. International organisations,i. 100%,dp3527008,dp3527008,stable
03.00,0050,0100,5. International organisations,j. 150%,dp3527033,dp3527033,stable
03.00,0050,0110,5. International organisations,k. Others,dp3527028,dp3527028,stable
03.00,0050,0120,5. International organisations,l. Total exposure value,dp3526979,dp3526979,stable
03.00,0060,0010,6. Institutions,a. 0%,dp3528302,dp3528302,stable
03.00,0060,0020,6. Institutions,b. 2%,dp3527059,dp3527059,stable
