datapoint_code,frequency,label,unit,template
dp456570,2,[TODO: DPM lookup] dp456570,[TODO],[TODO]
dp456571,2,[TODO: DPM lookup] dp456571,[TODO],[TODO]
dp456575,2,[TODO: DPM lookup] dp456575,[TODO],[TODO]
dp456576,2,[TODO: DPM lookup] dp456576,[TODO],[TODO]
dp456749,1,[TODO: DPM lookup] dp456749,[TODO],[TODO]
dp456757,1,[TODO: DPM lookup] dp456757,[TODO],[TODO]
dp456773,3,[TODO: DPM lookup] dp456773,[TODO],[TODO]
dp456774,1,[TODO: DPM lookup] dp456774,[TODO],[TODO]
dp456775,1,[TODO: DPM lookup] dp456775,[TODO],[TODO]
dp456781,1,[TODO: DPM lookup] dp456781,[TODO],[TODO]
dp456782,3,[TODO: DPM lookup] dp456782,[TODO],[TODO]
dp456783,1,[TODO: DPM lookup] dp456783,[TODO],[TODO]
dp456784,2,[TODO: DPM lookup] dp456784,[TODO],[TODO]
dp456786,3,[TODO: DPM lookup] dp456786,[TODO],[TODO]
dp456787,1,[TODO: DPM lookup] dp456787,[TODO],[TODO]
dp456788,3,[TODO: DPM lookup] dp456788,[TODO],[TODO]
dp456790,3,[TODO: DPM lookup] dp456790,[TODO],[TODO]
dp456793,1,[TODO: DPM lookup] dp456793,[TODO],[TODO]
dp457006,1,[TODO: DPM lookup] dp457006,[TODO],[TODO]
dp457008,9,[TODO: DPM lookup] dp457008,[TODO],[TODO]
dp457441,12,[TODO: DPM lookup] dp457441,[TODO],[TODO]
dp457445,11,[TODO: DPM lookup] dp457445,[TODO],[TODO]
dp457447,19,[TODO: DPM lookup] dp457447,[TODO],[TODO]
dp457448,19,[TODO: DPM lookup] dp457448,[TODO],[TODO]
dp457457,1,[TODO: DPM lookup] dp457457,[TODO],[TODO]
dp457459,9,[TODO: DPM lookup] dp457459,[TODO],[TODO]
dp457840,2,[TODO: DPM lookup] dp457840,[TODO],[TODO]
dp457924,2,[TODO: DPM lookup] dp457924,[TODO],[TODO]
dp457925,1,[TODO: DPM lookup] dp457925,[TODO],[TODO]
dp457927,1,[TODO: DPM lookup] dp457927,[TODO],[TODO]
dp457929,9,[TODO: DPM lookup] dp457929,[TODO],[TODO]
dp457932,10,[TODO: DPM lookup] dp457932,[TODO],[TODO]
dp457947,8,[TODO: DPM lookup] dp457947,[TODO],[TODO]
dp457948,2,[TODO: DPM lookup] dp457948,[TODO],[TODO]
dp457950,5,[TODO: DPM lookup] dp457950,[TODO],[TODO]
dp457951,8,[TODO: DPM lookup] dp457951,[TODO],[TODO]
dp457953,3,[TODO: DPM lookup] dp457953,[TODO],[TODO]
dp457955,8,[TODO: DPM lookup] dp457955,[TODO],[TODO]
dp458571,29,[TODO: DPM lookup] dp458571,[TODO],[TODO]
dp458581,29,[TODO: DPM lookup] dp458581,[TODO],[TODO]
dp458777,2,[TODO: DPM lookup] dp458777,[TODO],[TODO]
dp458786,8,[TODO: DPM lookup] dp458786,[TODO],[TODO]
dp458793,2,[TODO: DPM lookup] dp458793,[TODO],[TODO]
dp458803,2,[TODO: DPM lookup] dp458803,[TODO],[TODO]
dp458805,9,[TODO: DPM lookup] dp458805,[TODO],[TODO]
dp458807,7,[TODO: DPM lookup] dp458807,[TODO],[TODO]
dp458835,3,[TODO: DPM lookup] dp458835,[TODO],[TODO]
dp458848,2,[TODO: DPM lookup] dp458848,[TODO],[TODO]
